                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8053,                 12.774,                 5.0607,                 4.4098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4161,                 5.2036,                 4.5643,                 4.1574,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.2264,                  6.922,                 4.6781,                 4.2967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4156,                 5.1953,                 4.5726,                 4.1558,             0.00018155,             0.00018155,             0.00018155
                      3,                 3.2127,                 4.8951,                 4.5451,                 4.1591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4086,                 5.1827,                 4.5825,                 4.1542,             0.00027778,             0.00027778,             0.00027778
                      4,                 3.1836,                 4.4156,                 4.2044,                 4.1213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4084,                 5.1591,                 4.5938,                 4.1537,             0.00037202,             0.00037202,             0.00037202
                      5,                 2.9194,                 4.0579,                 3.8563,                 4.0098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4108,                 5.1329,                 4.6094,                 4.1552,             0.00046429,             0.00046429,             0.00046429
                      6,                 2.8903,                 3.3467,                 3.5689,                 3.8719,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4111,                  5.101,                 4.5851,                  4.162,             0.00055457,             0.00055457,             0.00055457
                      7,                 2.8492,                 2.6766,                  3.504,                 3.7079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.403,                 5.0719,                  4.545,                 4.1777,             0.00064287,             0.00064287,             0.00064287
                      8,                 2.8121,                 2.7438,                 3.6272,                 3.5919,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3805,                 5.0268,                 4.4349,                 4.1777,             0.00072919,             0.00072919,             0.00072919
                      9,                 2.6957,                 2.4875,                 3.4238,                 3.2435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3688,                   4.95,                 4.5209,                 4.1743,             0.00081354,             0.00081354,             0.00081354
                     10,                 2.6869,                 2.7617,                 3.0494,                 3.2114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.372,                 4.8517,                 4.4818,                 4.1689,              0.0008959,              0.0008959,              0.0008959
                     11,                 2.8798,                 2.2819,                 3.0303,                 3.1087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3641,                 4.8447,                 4.4774,                 4.1704,             0.00097628,             0.00097628,             0.00097628
                     12,                 2.8099,                 2.8579,                  2.792,                 2.9486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3588,                 4.7193,                 4.4713,                 4.1554,              0.0010547,              0.0010547,              0.0010547
                     13,                 2.8008,                 2.4658,                 2.6235,                 3.0335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3809,                 4.8296,                 4.5076,                 4.2214,              0.0011311,              0.0011311,              0.0011311
                     14,                 2.6595,                 2.5419,                 2.8095,                 2.9728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4651,                 4.8011,                 4.5291,                 4.3615,              0.0012055,              0.0012055,              0.0012055
                     15,                 2.7232,                 2.7626,                 2.5618,                 2.8632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3974,                 4.8144,                 4.5471,                 4.2693,               0.001278,               0.001278,               0.001278
                     16,                 2.5702,                 2.1769,                 2.4827,                 2.8329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3397,                 4.5023,                 4.4451,                 4.2116,              0.0013485,              0.0013485,              0.0013485
                     17,                 2.5581,                 2.0107,                 2.2199,                 2.7722,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3401,                 4.1302,                 4.3322,                 4.1241,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.5681,                 2.1074,                 2.3785,                  2.863,                0.00427,                0.21739,                0.00307,                0.00088,                0.00427,                0.21739,                0.00307,                0.00087,                 2.3989,                  3.394,                 3.8695,                 3.8611,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.4509,                 1.9915,                 2.4536,                 2.7766,                0.00681,                0.43478,                0.04078,                0.01009,                0.00681,                0.43478,                0.04074,                0.00988,                 2.4882,                 3.1027,                 3.5402,                 3.7332,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.4039,                 2.2409,                 2.2081,                 2.7157,                0.00457,                0.45652,                0.16866,                0.04222,                0.00457,                0.45652,                0.20478,                0.06509,                 2.5257,                 3.1884,                 3.4291,                 3.5957,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.3185,                 2.3421,                 2.1578,                 2.5783,                0.00324,                 0.3913,                0.19041,                 0.0532,                0.00341,                0.41304,                0.18596,                0.07694,                 2.4272,                 4.2252,                 3.8413,                  3.412,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.2144,                 2.1101,                 2.1657,                 2.4917,                      1,                0.04291,                0.25785,                0.09058,                      1,                0.04291,                0.24363,                0.08499,                 2.3262,                 4.9339,                 3.3484,                 3.1771,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.3291,                 1.9968,                 2.1171,                 2.5308,                0.75482,                0.04348,                0.11872,                0.03598,                0.87259,                0.06396,                0.14471,                0.04815,                  2.229,                 4.1576,                 3.8951,                 3.4993,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.1784,                 1.8292,                 1.8754,                 2.5122,                0.00311,                0.30435,                0.00893,                 0.0027,                0.86992,                0.02174,                0.02657,                0.00699,                  2.246,                 4.3834,                 4.2105,                   3.51,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.0669,                  1.578,                 1.9881,                 2.4823,                0.70211,                0.13043,                0.09175,                0.03576,                0.70715,                0.17391,                0.12357,                0.05948,                 2.2618,                 4.5512,                 4.1442,                 3.4103,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.0759,                 1.9466,                 1.9705,                 2.4427,                0.02063,                0.19565,                0.11182,                0.04461,                0.00798,                0.34783,                0.23711,                 0.1036,                 2.3499,                 7.7358,                 4.0053,                 3.3775,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.1387,                 1.7268,                 1.9853,                 2.5944,                0.73421,                0.11533,                0.08807,                0.02589,                0.86993,                0.18596,                0.21966,                0.09034,                 2.4094,                 9.1387,                 4.0854,                 3.4511,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.1731,                 1.8056,                 2.0334,                 2.4438,                0.06913,                0.19565,                0.08011,                0.01985,                0.11522,                0.32609,                0.21253,                  0.087,                 2.3354,                 9.0564,                 4.1726,                 3.4168,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.9139,                 1.6609,                 1.6864,                  2.299,                0.69609,                0.04348,                0.19405,                0.05019,                      1,                0.11124,                 0.3725,                0.13621,                 2.5093,                 6.9922,                 3.5764,                 3.1127,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.8301,                 1.9649,                 1.7658,                 2.2088,                0.91327,                0.20764,                0.32057,                0.10939,                      1,                0.25112,                0.40796,                0.20161,                 2.2592,                 3.7763,                 3.4815,                 2.8086,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.7298,                 1.4829,                 1.6973,                 2.0953,                 0.0039,                0.97826,                0.27913,                0.09234,                0.00354,                0.47826,                0.27877,                0.14248,                 2.1186,                 3.2676,                 3.5775,                 2.8105,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.8466,                 1.6465,                 1.6349,                 2.3319,                0.00282,                0.36957,                0.20278,                0.07691,                0.00382,                    0.5,                0.34355,                 0.1658,                 2.2869,                  1.946,                 3.7961,                 2.8424,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.8839,                 1.5906,                 1.7018,                 2.2194,                0.90935,                0.29483,                0.31378,                0.12206,                0.96997,                0.34049,                0.44042,                0.20768,                  2.309,                 1.9084,                 2.8618,                 2.6358,              0.0011554,              0.0011554,              0.0011554
                     34,                  1.836,                 1.6688,                 1.6802,                 2.1567,                0.97181,                0.36408,                0.44215,                0.17786,                0.97181,                0.36408,                0.44155,                0.24924,                 1.9713,                 1.5944,                 2.4881,                 2.2967,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.7255,                 1.6416,                 1.5356,                 2.0465,                0.95788,                 0.3913,                0.45949,                0.22249,                0.95788,                 0.3913,                 0.4358,                0.28057,                 1.7654,                 1.5371,                  2.242,                 2.0711,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6908,                 2.0583,                 1.5041,                 2.0711,                0.70763,                0.30887,                0.26302,                0.13104,                0.70763,                0.30887,                0.23375,                0.14146,                 1.4939,                  1.889,                 2.5098,                 1.8963,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6112,                 1.3549,                 1.4484,                 2.0245,                0.74263,                0.26087,                  0.346,                0.14408,                0.74263,                0.26087,                0.33542,                0.19763,                 1.7382,                  1.773,                  2.211,                 1.8852,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5129,                 1.3311,                 1.3408,                 1.9961,                0.93614,                0.34783,                 0.4336,                0.18773,                0.93614,                0.34783,                0.41906,                 0.2241,                 1.8033,                 2.0627,                 1.8622,                 1.8466,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.6903,                 1.6812,                 1.6429,                  2.092,                 0.9019,                 0.3565,                0.48173,                0.23584,                0.87598,                 0.3913,                0.41878,                0.25761,                 1.4896,                 1.7667,                 1.9191,                 1.7204,              0.0010564,              0.0010564,              0.0010564
                     40,                  1.591,                 1.3238,                 1.5564,                  1.983,                0.94715,                 0.3913,                0.47947,                0.24572,                0.93181,                 0.3913,                0.43023,                0.22691,                 1.5405,                  2.717,                 1.5076,                 1.7475,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5189,                 1.4168,                  1.434,                 1.9569,                0.93677,                 0.4507,                0.48899,                0.23936,                0.93677,                 0.4507,                0.44647,                0.22391,                 1.5626,                 3.1909,                 1.4711,                  1.715,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.4832,                 1.2867,                 1.2539,                 1.9004,                0.95006,                0.39181,                0.49082,                0.23787,                0.95006,                0.39181,                0.46156,                0.22499,                 1.7253,                  3.071,                 1.5773,                 1.7271,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.4894,                 1.6634,                 1.5141,                 1.8748,                0.95615,                 0.4524,                0.57247,                0.31117,                0.95615,                 0.4524,                0.47297,                0.29218,                 1.5327,                 1.9786,                  1.578,                 1.6161,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.4791,                 1.3435,                 1.3112,                 1.9107,                0.96989,                0.47826,                0.71606,                0.38226,                0.96989,                0.47826,                0.46731,                0.35007,                 1.1881,                 1.4325,                 1.4668,                 1.4947,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.3944,                 1.1573,                 1.2333,                  1.809,                0.97477,                0.47826,                0.60109,                0.38096,                0.97477,                0.47826,                0.47671,                0.35972,                 1.2045,                 1.3519,                 1.3227,                 1.5327,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3864,                 1.1647,                  1.263,                 1.8108,                0.97797,                0.47191,                0.54112,                0.37151,                0.97797,                0.47191,                0.47893,                 0.3783,                 1.1359,                 1.2763,                 1.2413,                 1.4669,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2733,                 1.2179,                 1.1446,                 1.7246,                 0.9781,                 0.4747,                0.52895,                0.38169,                 0.9781,                 0.4747,                0.48373,                0.39078,                 1.0971,                   1.26,                 1.1658,                  1.443,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2777,                 1.2361,                 1.2331,                 1.7568,                0.97811,                0.47501,                0.51792,                0.38557,                0.97811,                0.47501,                0.48476,                0.39063,                 1.0562,                 1.3956,                 1.1005,                 1.4265,             0.00090785,             0.00090785,             0.00090785
